MVP1232663	intersect3	0
MVP1232663	solo_emmax	0
MVP1231748	solo_emmax	2
MVP1231133	solo_emmax	2
MVP1232483	intersect3	0
MVP1232018	intersect3	0
MVP1232018	solo_emmax	0
MVP1232108	intersect3	0
MVP1232108	solo_emmax	0
MVP1231613	solo_emmax	2
MVP1231688	solo_emmax	2
MVP1232243	intersect3	0
MVP1232243	solo_emmax	2
MVP1232588	intersect3	0
MVP1232588	solo_emmax	1
MVP1232048	intersect3	0
MVP1232048	solo_emmax	0
MVP1231823	intersect3	0
MVP1231823	solo_emmax	2
MVP1231118	intersect3	0
MVP1231118	solo_emmax	1
MVP1232948	intersect3	0
MVP1232948	solo_emmax	0
MVP1233173	intersect3	0
MVP1232093	intersect3	2
MVP1231193	intersect3	2
MVP1231193	solo_emmax	2
MVP1232543	intersect3	0
MVP1232468	solo_emmax	1
MVP1233143	intersect3	0
MVP1232918	solo_emmax	2
MVP1232963	intersect3	0
MVP1232963	solo_emmax	2
MVP1232438	intersect3	2
MVP1232438	solo_emmax	1
MVP1231673	intersect3	0
MVP1231673	solo_emmax	2
MVP1231358	intersect3	0
MVP1231358	solo_emmax	2
MVP1232033	solo_emmax	2
MVP1232333	solo_emmax	1
MVP1232513	intersect3	0
MVP1232513	solo_emmax	1
MVP1232498	intersect3	0
MVP1232498	solo_emmax	0
MVP1232063	intersect3	0
MVP1232063	solo_emmax	1
MVP1232813	intersect3	0
MVP1232258	intersect3	0
MVP1232258	solo_emmax	0
MVP1233008	solo_emmax	2
MVP1232363	intersect3	0
MVP1231148	intersect3	0
MVP1231808	intersect3	0
MVP1231838	intersect3	0
MVP1231838	solo_emmax	2
