MVP1231564	intersect3	2
MVP1232419	intersect3	0
MVP1233019	intersect3	0
MVP1232194	intersect3	0
MVP1232194	solo_emmax	1
MVP1232569	intersect3	1
MVP1231339	solo_emmax	2
MVP1233184	intersect3	0
MVP1233184	solo_emmax	2
MVP1231594	solo_emmax	2
MVP1232089	solo_emmax	2
MVP1233109	intersect3	0
MVP1231144	intersect3	0
MVP1231144	solo_emmax	1
MVP1232404	intersect3	0
MVP1232014	intersect3	0
MVP1232014	solo_emmax	1
MVP1232464	intersect3	0
MVP1232464	solo_emmax	1
MVP1232044	solo_emmax	2
MVP1232059	intersect3	0
MVP1232314	intersect3	1
MVP1232314	solo_emmax	1
MVP1232104	intersect3	0
MVP1232779	intersect3	0
MVP1231819	intersect3	0
MVP1231819	solo_emmax	2
MVP1231234	solo_emmax	2
MVP1233169	intersect3	1
MVP1232329	intersect3	0
MVP1232329	solo_emmax	2
MVP1231429	intersect3	0
MVP1231429	solo_emmax	0
MVP1231279	solo_emmax	2
MVP1231159	intersect3	0
MVP1231654	intersect3	0
MVP1231654	solo_emmax	1
MVP1231504	intersect3	2
MVP1233229	intersect3	0
MVP1231804	solo_emmax	2
MVP1233139	intersect3	0
MVP1231129	solo_emmax	2
MVP1232179	solo_emmax	2
MVP1231834	intersect3	1
MVP1231579	intersect3	0
MVP1231579	solo_emmax	1
